Video: Sample/videos/su55kMzAROCsMfmimnDS8A.mp4
FPS: 25.0
Sampling Interval: 2s (50 frames)
Range: 132s - 428s
--------------------------------------------------------------------------------------------------------------------------------------------
Time (s)   | Frame Diff %    | ROI0 Diff %     | Frame Thresh %  | ROI0 Thresh %   | Status
  272.00   |      0.000000%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  274.00   |      0.220077%  |      0.452425%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  276.00   |      0.071330%  |      0.127584%  |        0.0500%  |        0.2000%  | F:PASS R:FAIL
  278.00   |      0.180831%  |      0.376741%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  280.00   |      0.138949%  |      0.295659%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  282.00   |      0.129822%  |      0.276414%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  284.00   |      0.196998%  |      0.420010%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  286.00   |      0.110957%  |      0.236569%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  288.00   |      0.608181%  |      1.296692%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  290.00   |      0.606210%  |      1.292489%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  292.00   |      0.677274%  |      1.444004%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  294.00   |      0.018628%  |      0.039716%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  296.00   |      0.005312%  |      0.011325%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  298.00   |      0.680747%  |      1.451409%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  300.00   |      0.182639%  |      0.389401%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  302.00   |      0.011201%  |      0.023882%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  304.00   |      0.241133%  |      0.496126%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  306.00   |      0.185189%  |      0.378657%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  308.00   |      1.057243%  |      2.254108%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  310.00   |      1.448225%  |      3.087736%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  312.00   |      0.025654%  |      0.054697%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  314.00   |      0.656809%  |      1.400370%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  316.00   |      3.075202%  |      6.545388%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  318.00   |      0.085092%  |      0.181423%  |        0.0500%  |        0.2000%  | F:PASS R:FAIL
  320.00   |      0.022841%  |      0.048671%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  322.00   |      0.005362%  |      0.011432%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  324.00   |      0.000000%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  326.00   |      0.000000%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  328.00   |      0.000000%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  330.00   |      0.000000%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  332.00   |      0.000000%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  334.00   |      0.246443%  |      0.494065%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  336.00   |      0.084595%  |      0.158951%  |        0.0500%  |        0.2000%  | F:PASS R:FAIL
  338.00   |      0.091130%  |      0.177826%  |        0.0500%  |        0.2000%  | F:PASS R:FAIL
  340.00   |      0.002115%  |      0.000440%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  342.00   |      0.001132%  |      0.000243%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  344.00   |      0.011268%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  346.00   |      0.010495%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  348.00   |      0.011229%  |      0.012635%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  350.00   |      0.536327%  |      1.143438%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  352.00   |      0.031264%  |      0.066657%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  354.00   |      0.005114%  |      0.010903%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  356.00   |      0.513857%  |      1.095584%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  358.00   |      2.546708%  |      5.408339%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  360.00   |      0.045811%  |      0.089253%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  362.00   |      0.036756%  |      0.055509%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  364.00   |      0.237127%  |      0.465354%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
